MovieID,genres,movie_title,imdb_score
1,Action.Adventure.Fantasy.Sci-Fi,Avatar ,7.9
2,Action.Adventure.Fantasy,Pirates of the Caribbean: At World's End ,7.1
3,Action.Adventure.Thriller,Spectre ,6.8
4,Action.Thriller,The Dark Knight Rises ,8.5
5,Documentary,Star Wars: Episode VII - The Force Awakens             ,7.1
6,Action.Adventure.Sci-Fi,John Carter ,6.6
7,Action.Adventure.Romance,Spider-Man 3 ,6.2
8,Adventure.Animation.Comedy.Family.Fantasy.Musical.Romance,Tangled ,7.8
9,Action.Adventure.Sci-Fi,Avengers: Age of Ultron ,7.5
10,Adventure.Family.Fantasy.Mystery,Harry Potter and the Half-Blood Prince ,7.5
11,Action.Adventure.Sci-Fi,Batman v Superman: Dawn of Justice ,6.9
12,Action.Adventure.Sci-Fi,Superman Returns ,6.1
13,Action.Adventure,Quantum of Solace ,6.7
14,Action.Adventure.Fantasy,Pirates of the Caribbean: Dead Man's Chest ,7.3
15,Action.Adventure.Western,The Lone Ranger ,6.5
16,Action.Adventure.Fantasy.Sci-Fi,Man of Steel ,7.2
17,Action.Adventure.Family.Fantasy,The Chronicles of Narnia: Prince Caspian ,6.6
18,Action.Adventure.Sci-Fi,The Avengers ,8.1
19,Action.Adventure.Fantasy,Pirates of the Caribbean: On Stranger Tides ,6.7
20,Action.Adventure.Comedy.Family.Fantasy.Sci-Fi,Men in Black 3 ,6.8
21,Adventure.Fantasy,The Hobbit: The Battle of the Five Armies ,7.5
22,Action.Adventure.Fantasy,The Amazing Spider-Man ,7
23,Action.Adventure.Drama.History,Robin Hood ,6.7
24,Adventure.Fantasy,The Hobbit: The Desolation of Smaug ,7.9
25,Adventure.Family.Fantasy,The Golden Compass ,6.1
26,Action.Adventure.Drama.Romance,King Kong ,7.2
27,Drama.Romance,Titanic ,7.7
28,Action.Adventure.Sci-Fi,Captain America: Civil War ,8.2
29,Action.Adventure.Sci-Fi.Thriller,Battleship ,5.9
30,Action.Adventure.Sci-Fi.Thriller,Jurassic World ,7
31,Action.Adventure.Thriller,Skyfall ,7.8
32,Action.Adventure.Fantasy.Romance,Spider-Man 2 ,7.3
33,Action.Adventure.Sci-Fi,Iron Man 3 ,7.2
34,Adventure.Family.Fantasy,Alice in Wonderland ,6.5
35,Action.Adventure.Fantasy.Sci-Fi.Thriller,X-Men: The Last Stand ,6.8
